timestamp,block_index,threads,elapsed_time,nonce
2025-05-29 18:27:53,2,2,0.14322662353515625,93795
2025-05-29 18:27:54,3,2,0.011517047882080078,7249
2025-05-29 18:27:54,4,2,0.03756523132324219,23463
2025-05-29 18:27:54,5,2,0.14017176628112793,90967
2025-05-29 18:27:55,6,2,0.04305076599121094,28022
2025-05-29 18:27:55,7,2,0.06858015060424805,44577
2025-05-29 18:27:56,8,2,0.306427001953125,208785
2025-05-29 18:27:56,9,2,0.1231541633605957,83977
2025-05-29 18:27:56,0,4,0.08067965507507324,50554
2025-05-29 18:27:57,1,4,0.09911155700683594,63745
2025-05-29 18:27:57,2,4,0.062084197998046875,39603
2025-05-29 18:27:58,3,4,0.36444878578186035,238083
2025-05-29 18:27:58,4,4,0.09763193130493164,66231
2025-05-29 18:27:58,5,4,0.08860063552856445,58557
2025-05-29 18:27:59,6,4,0.04705405235290527,30125
2025-05-29 18:27:59,7,4,0.026031970977783203,17071
2025-05-29 18:28:00,8,4,0.5286953449249268,335532
2025-05-29 18:28:00,9,4,0.0010004043579101562,3
2025-05-29 18:28:00,0,8,0.009512901306152344,5796
2025-05-29 18:28:01,1,8,0.3024110794067383,188017
2025-05-29 18:28:01,2,8,0.023541927337646484,14039
2025-05-29 18:28:01,3,8,0.09013915061950684,57054
2025-05-29 18:28:02,4,8,0.14071941375732422,87985
2025-05-29 18:28:02,5,8,0.03404355049133301,21132
2025-05-29 18:28:03,6,8,0.08218884468078613,47479
2025-05-29 18:28:03,7,8,0.0822153091430664,48803
2025-05-29 18:28:03,8,8,0.02405381202697754,14805
2025-05-29 18:28:04,9,8,0.29943060874938965,189010
2025-05-29 18:28:28,0,1,0.10563015937805176,73179
2025-05-29 18:28:28,1,1,0.03604483604431152,24353
2025-05-29 18:28:29,0,2,0.08010673522949219,54083
2025-05-29 18:28:29,1,2,0.05106616020202637,34056
2025-05-29 18:28:29,0,4,0.0015027523040771484,603
2025-05-29 18:28:30,1,4,0.05255937576293945,35076
2025-05-29 18:28:30,0,8,0.024528026580810547,15372
2025-05-29 18:28:30,1,8,0.12366843223571777,78646
2025-05-29 18:28:45,0,1,0.05354881286621094,36907
2025-05-29 18:28:46,1,1,0.07559752464294434,51253
2025-05-29 18:28:46,0,2,0.0060176849365234375,4072
2025-05-29 18:28:46,1,2,0.2810330390930176,191396
2025-05-29 18:28:47,0,4,0.0901346206665039,59527
2025-05-29 18:28:47,1,4,0.0836179256439209,49300
2025-05-29 18:28:48,0,8,0.1481935977935791,98664
2025-05-29 18:28:48,1,8,0.15770196914672852,101954
2025-05-29 18:29:06,0,1,0.05056405067443848,34494
2025-05-29 18:29:06,1,1,0.046560049057006836,30404
2025-05-29 18:29:06,0,2,0.23480606079101562,154380
